author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/303370372/;Cанкт-Петербург;sale;flat;4;8;1;57.0;69900000;Таганский;Тессинский переулок;1;Чкаловская;Тессинский, 1
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/299558863/;Cанкт-Петербург;sale;flat;2;4;2;136.6;75000000;Донской;Варшавское шоссе;9с28;Тульская;Даниловская мануфактура
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/300006046/;Cанкт-Петербург;sale;flat;4;6;2;156.0;77400000;Тверской; Малая Дмитровка;29С1;Маяковская;
PANDA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/303149151/;Cанкт-Петербург;sale;flat;9;10;2;82.0;80000000;Хамовники;Ружейный переулок;3;Смоленская;Смоленская Застава
ALFA real estate;real_estate_agent;https://www.cian.ru/sale/flat/304696227/;Cанкт-Петербург;sale;flat;3;12;2;65.6;82000000;Раменки;Мосфильмовская ;1к5;Ломоносовский проспект;Вишневый сад
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/288552689/;Cанкт-Петербург;sale;flat;46;75;2;114.2;86000000;Пресненский;1-й Красногвардейский проезд;15;Деловой центр;Меркурий Тауэр
Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/303773135/;Cанкт-Петербург;sale;flat;20;21;2;139.5;89000000;Хорошево-Мневники;Жилой комплекс остров;4-й кв-л;Терехово ;Остров
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/259427417/;Cанкт-Петербург;sale;flat;51;75;2;123.0;99000000;Пресненский;1-й Красногвардейский проезд;15;Деловой центр;Меркурий Тауэр
ЛюксДом;real_estate_agent;https://www.cian.ru/sale/flat/299328634/;Cанкт-Петербург;sale;flat;7;12;2;77.2;104900000;Хамовники; Ефремова;10с1к4/2;Фрунзенская;Садовые кварталы
Правовой центр жилья;real_estate_agent;https://www.cian.ru/sale/flat/303612164/;Cанкт-Петербург;sale;flat;2;8;2;77.4;123000000;Красносельский;Костянский переулок;13;Сретенский бульвар;Клубный дом TURGENEV
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/300006052/;Cанкт-Петербург;sale;flat;2;5;2;103.0;149980000;Тверской;Никольская ;10/2С2б;Лубянка;St. Nickolas
Soul Estate;real_estate_agent;https://www.cian.ru/sale/flat/302731259/;Cанкт-Петербург;sale;flat;5;14;2;82.0;150000000;Хамовники;Трубецкая ;10;Фрунзенская;Дом на Трубецкой
ТРЕНД;real_estate_agent;https://spb.cian.ru/sale/flat/302631587/;Cанкт-Петербург;sale;flat;5;5;2;44.0;4800000;Пушкинский;шоссе Колпинское;9;Шушары;
Магазин новостроек;representative_developer;https://krasnodar.cian.ru/sale/flat/302761019/;Cанкт-Петербург;sale;flat;24;24;1;37.35;5141000;мкр. Славянский; Заполярная;39к9;;Славянка
ТРЕНД;real_estate_agent;https://spb.cian.ru/sale/flat/304572206/;Cанкт-Петербург;sale;flat;10;12;1;33.2;5690000;Колпинский; Севастьянова;30к2;Рыбацкое;Новое Колпино
Магазин новостроек;representative_developer;https://krasnodar.cian.ru/sale/flat/304026929/;Cанкт-Петербург;sale;flat;10;23;1;37.6;5831760;;;;;Отражение
ТРЕНД;real_estate_agent;https://spb.cian.ru/sale/flat/304463150/;Cанкт-Петербург;sale;flat;6;22;1;29.62;5870000;Красногвардейский;Полюстрово;149/5;Гражданский проспект;Ручьи ЖК
ТРЕНД;real_estate_agent;https://spb.cian.ru/sale/flat/302776095/;Cанкт-Петербург;sale;flat;1;10;1;41.0;5999999;Приморский;Глухарская ;5к2В;Комендантский проспект;
ТРЕНД;real_estate_agent;https://spb.cian.ru/sale/flat/304227976/;Cанкт-Петербург;sale;flat;22;24;1;28.0;6100000;Невский; Русановская;18к7;Ломоносовская;
ID 45302310;developer;https://krasnodar.cian.ru/sale/flat/299867381/;Cанкт-Петербург;sale;flat;16;18;2;55.9;6109870;;;;;Парк Победы - 2
ТРЕНД;real_estate_agent;https://spb.cian.ru/sale/flat/303230364/;Cанкт-Петербург;sale;flat;2;13;1;42.0;6349999;Невский;Варфоломеевская ;6;Ломоносовская;Апарт-отель Начало
ТРЕНД;real_estate_agent;https://spb.cian.ru/sale/flat/303133355/;Cанкт-Петербург;sale;flat;1;5;2;44.3;6400000;Калининский;Светлановский проспект;119;Гражданский проспект;
ТРЕНД;real_estate_agent;https://spb.cian.ru/sale/flat/304817390/;Cанкт-Петербург;sale;flat;6;16;1;35.5;6800000;Выборгский;дорога Михайловская;14к1;Озерки;Parkolovo
ТРЕНД;real_estate_agent;https://spb.cian.ru/sale/flat/303078913/;Cанкт-Петербург;sale;flat;4;5;2;54.2;7000000;Колпинский;проспект Ленина;45;Шушары;
ТРЕНД;real_estate_agent;https://spb.cian.ru/sale/flat/302632267/;Cанкт-Петербург;sale;flat;1;9;2;63.2;7149000;Пушкинский;шоссе Колпинское;40к1;Шушары;
ТРЕНД;real_estate_agent;https://spb.cian.ru/sale/flat/302678190/;Cанкт-Петербург;sale;flat;3;25;1;30.9;7200000;Приморский; Плесецкая;10;Комендантский проспект;Полис на Комендантском
ТРЕНД;real_estate_agent;https://spb.cian.ru/sale/flat/303828498/;Cанкт-Петербург;sale;flat;8;9;1;32.0;7250000;Московский;Краснопутиловская ;121;Московская;
ТРЕНД;real_estate_agent;https://spb.cian.ru/sale/flat/302631347/;Cанкт-Петербург;sale;flat;1;3;2;50.0;7500000;Красногвардейский;Ириновский проспект;39К1;Ладожская;
Солнечный Сочи;real_estate_agent;https://sochi.cian.ru/sale/flat/304047577/;Cанкт-Петербург;sale;flat;3;5;2;75.0;7500000;Хостинский;Курортный проспект;93;;Магнолия Парк
ТРЕНД;real_estate_agent;https://spb.cian.ru/sale/flat/304298846/;Cанкт-Петербург;sale;flat;13;16;1;36.1;7600000;Кировский;Морские ворота;9;Балтийская;
ТРЕНД;real_estate_agent;https://spb.cian.ru/sale/flat/304588089/;Cанкт-Петербург;sale;flat;12;14;1;39.3;7700000;Приморский;Школьная ;88к2;Старая Деревня;
Солнечный Сочи;real_estate_agent;https://sochi.cian.ru/sale/flat/295676316/;Cанкт-Петербург;sale;flat;14;14;1;39.5;7800000;Центральный;Курортный проспект;18/1;;
ТРЕНД;real_estate_agent;https://spb.cian.ru/sale/flat/302631043/;Cанкт-Петербург;sale;flat;6;6;1;32.2;7900000;Петроградский;Колпинская ;27-29;Чкаловская;
ТРЕНД;real_estate_agent;https://spb.cian.ru/sale/flat/302632639/;Cанкт-Петербург;sale;flat;2;8;1;44.0;8100000;Пушкинский;Кедринская ;8;Звездная;
ТРЕНД;real_estate_agent;https://spb.cian.ru/sale/flat/304743527/;Cанкт-Петербург;sale;flat;3;24;2;64.4;8200000;Колпинский;шоссе Вознесенское;49к2;Рыбацкое;Олимп
