author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
ПИК;developer;https://kazan.cian.ru/sale/flat/303892378/;Казань;sale;flat;5;26;2;52.8;9536590;Советский;;1;Площадь Тукая;Сиберово ЖК
ПИК;developer;https://kazan.cian.ru/sale/flat/298767938/;Казань;sale;flat;5;12;2;57.5;9504627;Советский;;7;Горки;Нокса Парк ЖК
Суварстроит;developer;https://kazan.cian.ru/sale/flat/298326569/;Казань;sale;flat;1;5;1;56.5;9502000;Приволжский; Генерала Ерина;5Д;Дубравная;Времена года
Суварстроит;developer;https://kazan.cian.ru/sale/flat/298326169/;Казань;sale;flat;2;19;2;51.5;9540345;Приволжский;;1к8;Дубравная;Станция Спортивная ЖК
ПИК;developer;https://kazan.cian.ru/sale/flat/281314844/;Казань;sale;flat;1;8;1;43.1;9598293;Советский;;1;Площадь Тукая;Сиберово ЖК
Суварстроит;developer;https://kazan.cian.ru/sale/flat/300821023/;Казань;sale;flat;14;25;2;46.69;9592000;Приволжский;;4.1;Дубравная;Сказочный лес ЖК
Унистрой;developer;https://kazan.cian.ru/sale/flat/303560408/;Казань;sale;flat;3;10;1;43.99;9640000;Приволжский;33-й Военный городок;;Аметьево;Аквамарин
ID 75313127;developer;https://kazan.cian.ru/sale/flat/300719966/;Казань;sale;flat;21;23;1;41.48;9600000;Советский;;2;Горки;Притяжение ЖК
Ак Барс Дом;developer;https://kazan.cian.ru/sale/flat/301111942/;Казань;sale;flat;17;25;1;38.18;9583180;Советский;;;Горки;Мой Ритм ЖК
Ак Барс Дом;developer;https://kazan.cian.ru/sale/flat/301113149/;Казань;sale;flat;6;24;1;38.75;9648750;Советский;;ПК4;Горки;Мой Ритм ЖК
КОМОССТРОЙ;developer;https://kazan.cian.ru/sale/flat/300939349/;Казань;sale;flat;1;14;1;50.1;9640000;Приволжский;Ферма-2 жилмассив;;Проспект Победы;Фермаполис
ID 75313127;developer;https://kazan.cian.ru/sale/flat/302302003/;Казань;sale;flat;2;13;2;55.06;9710000;Советский;;;Суконная слобода;Статный
NovaStroy;developer;https://kazan.cian.ru/sale/flat/299740680/;Казань;sale;flat;2;5;1;17.68;9724000;Вахитовский; Бурхана Шахиди;18/18;Кремлёвская;Vertical Boutique
Ак Барс Дом;developer;https://kazan.cian.ru/sale/flat/304821162/;Казань;sale;flat;14;17;1;32.68;9705960;Советский; Петра Полушкина;5/2;Горки;Мой Ритм
Унистрой;developer;https://kazan.cian.ru/sale/flat/303560690/;Казань;sale;flat;4;10;1;44.72;9670000;Приволжский;33-й Военный городок;;Аметьево;Аквамарин
Унистрой;developer;https://kazan.cian.ru/sale/flat/299426146/;Казань;sale;flat;12;20;1;43.64;9710000;Приволжский;;;Аметьево;Кью на Кулагина ЖК
Унистрой;developer;https://kazan.cian.ru/sale/flat/299015222/;Казань;sale;flat;1;20;1;47.29;9710000;Приволжский;;;Аметьево;Кью на Кулагина ЖК
Суварстроит;developer;https://kazan.cian.ru/sale/flat/301305001/;Казань;sale;flat;9;19;2;53.83;9675000;Приволжский;проезд Детский;;Дубравная;Станция Спортивная
Суварстроит;developer;https://kazan.cian.ru/sale/flat/301482287/;Казань;sale;flat;17;19;2;52.23;9824000;Приволжский; Рауиса Гареева;;Дубравная;Батталовский
